Year;Competition;Placement
1938;world;4
1954;world;5
1958;world;4
1961;world;5
1964;world;7
1967;world;2
1970;world;4
1972;olympics;13
1974;world;8
1976;olympics;8
1978;world;4
1980;olympics;9
1982;world;4
1984;olympics;4
1986;world;8
1993;world;9
1994;european;4
1995;world;17
1996;european;12
1999;world;9
2000;european;10
2002;european;3
2003;world;9
2004;european;3
2005;world;13
2006;european;3
2007;world;3
2008;european;1
2008;olympics;7
2009;world;4
2010;european;5
2011;world;2
2012;european;1
2012;olympics;6
2013;world;2
2014;european;2
2015;world;5
2016;european;6
2016;olympics;1
2017;world;10
2018;european;4
2019;world;1
2020;european;13
2020;olympics;2
2021;world;1
2022;european;3