Year;Month;Day;Opponent;Rating
2007;January;20;Hungary;702
2007;January;21;Angola;908
2007;January;22;Norway;1144
2007;January;24;Croatia;1087
2007;January;25;Spain;1026
2007;January;27;Russia;1051
2007;January;28;Czech Republic;1189
2007;January;30;Iceland;1453
2007;February;1;Poland;1768
2007;February;4;France;1032
2019;January;10;Chile;1275
2019;January;12;Tunisia;1300
2019;January;14;Saudi Arabia;1514
2019;January;15;Austria;1418
2019;January;17;Norway;1817
2019;January;19;Hungary;1758
2019;January;21;Egypt;1761
2019;January;23;Sweden;1796
2019;January;25;France;1849
2019;January;27;Norway;1561